Altium Designer Pick and Place Locations
C:\Users\carli\_work_\pcb\X4M02\Project_Outputs\PCBA_Doc_280031-010\Pick_Place-280031-010.txt

========================================================================================================================
File Design Information:

Date:       13.06.17
Time:       13:44
Revision:   2450
Variant:    Populated_components
Units used: mil

Designator Footprint             Center-X(mil) Center-Y(mil) Ref-X(mil) Ref-Y(mil) Pad-X(mil) Pad-Y(mil) Layer       Rotation Comment                Description                                                             
R3         0402-RESISTOR         358.271       472.425       358.271    472.425    358.271    492.110    BottomLayer 270      620R                   "RESISTOR, 620R, 0402, 1%, 63mW"                                        
R4         0402-RESISTOR         393.704       472.425       393.704    472.425    393.704    492.110    BottomLayer 270      200R                   "RESISTOR, 200R, 0402, 1%, 63mW"                                        
R5         0402-RESISTOR         425.200       543.292       425.200    543.292    425.200    562.977    BottomLayer 270      120R                   "RESISTOR, 120R, 0402, 1%, 63mW"                                        
R100       0402-RESISTOR         57.087        407.445       57.086     407.445    76.772     407.445    TopLayer    180      680k                   "RESISTOR, 680k, 0402, 1%, 63mW"                                        
R101       0402-RESISTOR         57.090        375.969       57.089     375.969    76.775     375.969    TopLayer    180      1M                     "RESISTOR, 1M, 0402, 5%, 63mW"                                          
R102       0402-RESISTOR         127.953       427.130       127.953    427.130    147.638    427.130    TopLayer    180      100k                   "RESISTOR, 100k, 0402, 1%, 63mW"                                        
R103       0402-RESISTOR         -157.481      368.075       -157.481   368.075    -177.166   368.075    BottomLayer 360      100k                   "RESISTOR, 100k, 0402, 1%, 63mW"                                        
R200       0402-RESISTOR         -47.241       -192.929      -47.241    -192.929   -47.241    -173.244   TopLayer    270      10k                    "RESISTOR, 10k, 0402, 1%, 63mW"                                         
R201       0402-RESISTOR         0.003         -192.929      0.003      -192.929   0.003      -173.244   TopLayer    270      100k                   "RESISTOR, 100k, 0402, 1%, 63mW"                                        
R300       0402-RESISTOR         -267.714      -342.535      -267.714   -342.535   -287.399   -342.535   BottomLayer 360      5k6                    "RESISTOR, 5k6, 0402, 1%, 63mW"                                         
R301       0402-RESISTOR         -39.367       -875.954      -39.367    -875.954   -19.682    -875.954   BottomLayer 180      100k                   "RESISTOR, 100k, 0402, 1%, 63mW"                                        
U1         200051                -287.399      334.630       -287.399   334.630    -246.060   364.158    BottomLayer 180      PRTR5V0U2X             "DIODE PROTECTION, TVS, DUAL"                                           
U100       200038                167.322       535.397       167.322    535.397    111.220    555.082    TopLayer    270      LTC3621EDCB-2          "LTC3621EDCB-2, BUCK, 2.7-17V, 2.2MHZ, 1A, 0.6-17V, 6DFN"               
U200       200106-002            0.102         -15.743       0.003      -15.743    -55.017    23.627     TopLayer    0        "XeThru X4"            "XeThru X4"                                                             
U301       200353                -147.651      -551.180      -147.651   -551.180   -320.880   -377.951   TopLayer    0        ATSAMS70Q21A-CN        "ATSAMS70Q21A-CN, MCU, LFBGA144, 2048k Flash, 384k SRAM"                
Y200       200281                204.727       -248.027      204.727    -248.027   161.420    -279.523   TopLayer    360      27MHz                  "LFXTAL072115, CRYSTAL 27MHZ, 10PF, SMD"                                
Y300       200042                -316.935      -807.085      -316.935   -807.085   -366.148   -807.085   TopLayer    360      ABS07-32.768KHZ-T      "CRYSTAL, 32.768KHZ, 12.5PF, SMD"                                       
